Elo Rank	Player	Age	Elo	    	hElo Rank	hElo	cElo Rank	cElo	gElo Rank	gElo	    	Peak Elo	Peak Month	    	ATP Rank	Log diff
195	Alex Bolt	32.3	1577.4		187	1528.5	361	1355.8	108	1580.2		1688.9	2019-03		197	-0.01
196	Billy Harris	30.2	1573.5		164	1557.0	268	1443.9	104	1586.6		1711.4	2024-06		102	0.65
197	Ignacio Buse	21.1	1573.3		340	1375.6	154	1574.2	202	1486.7		1632.4	2024-09		192	0.03
198	Seong Chan Hong	27.2	1573.0		173	1543.3	266	1444.7	344	1397.6		1613.7	2024-04		346	-0.56
199	Gregoire Barrere	31.2	1571.5		175	1541.5	179	1536.8	138	1545.1		1804.5	2020-02		296	-0.40
200	Taro Daniel	32.2	1568.3		167	1555.3	200	1515.9	219	1475.5		1766.8	2023-04		148	0.30
201	Benjamin Hassan	30.2	1567.1		199	1517.8	178	1537.9	220	1475.4		1680.2	2023-10		220	-0.09
202	Liam Broady	30.6	1566.1		179	1535.1	245	1458.7	192	1496.4		1757.4	2022-03		601	-1.09
203	Albert Ramos	37.2	1566.1		183	1533.4	190	1526.0	291	1428.3		1889.0	2017-04		251	-0.21
204	Marco Trungelliti	35.2	1564.7		223	1491.4	162	1558.1	254	1446.4		1693.1	2018-07		177	0.14
205	Mitchell Krueger	31.3	1564.0		213	1505.3	196	1517.3	182	1505.7		1653.6	2022-04		140	0.38
206	Alexis Galarneau	26.1	1562.5		177	1538.9	253	1451.6	204	1485.9		1631.5	2024-04		202	0.02
207	Dominic Stricker	22.7	1558.4		191	1522.5	189	1526.2	152	1529.6		1798.6	2021-06		235	-0.13
208	Alexander Ritschard	31.0	1556.4		243	1467.8	133	1601.1	212	1483.5		1695.9	2024-07		156	0.29
209	Norbert Gombos	34.7	1553.5		195	1520.1	182	1532.5	241	1458.2		1753.2	2020-11		332	-0.46
210	Calvin Hemery	30.2	1552.8		219	1498.2	191	1524.4	244	1453.2		1651.1	2015-06		171	0.21
211	Ricardas Berankis	34.9	1549.9		215	1503.9	167	1551.2	163	1520.8		1842.4	2011-02		321	-0.42
212	Joris De Loore	31.3	1549.5		178	1538.2	224	1481.7	226	1470.6		1665.1	2016-10		424	-0.69
213	Radu Albot	35.5	1547.9		198	1519.1	201	1514.7	141	1542.9		1823.4	2019-05		283	-0.28
214	Francesco Maestrelli	22.3	1547.3		251	1462.0	193	1522.7	289	1428.9		1711.4	2022-07		229	-0.07
215	Kimmer Coppejans	31.2	1546.4		255	1460.0	192	1524.2	242	1456.7		1697.0	2015-04		265	-0.21
216	Yasutaka Uchiyama	32.7	1546.0		208	1508.0	319	1393.5	221	1475.2		1727.5	2019-10		204	0.06
217	Jozef Kovalik	32.4	1545.7		260	1457.6	168	1549.8	358	1392.2		1721.8	2018-07		210	0.03
218	Coleman Wong	20.9	1545.4		180	1534.8	275	1435.4	263	1441.4		1666.1	2024-09		175	0.22
219	Gijs Brouwer	28.8	1545.4		231	1483.1	215	1490.4	168	1515.2		1656.6	2023-04		231	-0.05
220	Hugo Grenier	29.1	1542.0		207	1509.1	281	1431.5	180	1506.5		1734.0	2022-09		176	0.22
221	Daniel Rincon	22.3	1541.0		209	1507.7	211	1501.5	341	1399.7		1613.8	2023-09		212	0.04
222	Lukas Neumayer	22.6	1539.6		348	1370.2	188	1527.0	272	1436.8		1594.5	2024-12		182	0.20
223	James Trotter	25.7	1538.6		190	1523.6	356	1359.2	261	1442.1		1658.1	2025-01		174	0.25
224	Timofey Skatov	24.2	1537.5		225	1490.5	187	1527.8	223	1474.7		1672.0	2024-07		233	-0.04
